INCIDENT_DATETIME,INCIDENT_BOROUGH,STARFIRE_INCIDENT_ID
01/01/2021 12:00:00 AM,RICHMOND / STATEN ISLAND,2283
02/01/2021 12:00:00 AM,BRONX,10091
02/01/2021 12:00:00 AM,BROOKLYN,12964
02/01/2021 12:00:00 AM,MANHATTAN,10892
02/01/2021 12:00:00 AM,QUEENS,9356
02/01/2021 12:00:00 AM,RICHMOND / STATEN ISLAND,2118
03/01/2021 12:00:00 AM,BRONX,10672
03/01/2021 12:00:00 AM,BROOKLYN,13575
03/01/2021 12:00:00 AM,MANHATTAN,11419
03/01/2021 12:00:00 AM,QUEENS,9455
03/01/2021 12:00:00 AM,RICHMOND / STATEN ISLAND,2440
04/01/2021 12:00:00 AM,BRONX,10717
04/01/2021 12:00:00 AM,BROOKLYN,13100
04/01/2021 12:00:00 AM,MANHATTAN,11744
04/01/2021 12:00:00 AM,QUEENS,9072
04/01/2021 12:00:00 AM,RICHMOND / STATEN ISLAND,2350
05/01/2021 12:00:00 AM,BRONX,1856
05/01/2021 12:00:00 AM,BROOKLYN,2220
05/01/2021 12:00:00 AM,MANHATTAN,2064
05/01/2021 12:00:00 AM,QUEENS,1510
05/01/2021 12:00:00 AM,RICHMOND / STATEN ISLAND,341
