OFNS_DESC,CMPLNT_NUM,CMPLNT_FR_DT
ASSAULT 3 & RELATED OFFENSES,4233,03/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4286,04/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,5081,05/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4923,06/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4966,07/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4455,08/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4605,09/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4393,10/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4146,11/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4136,12/01/2019 12:00:00 AM
BURGLAR'S TOOLS,19,01/01/2018 12:00:00 AM
BURGLAR'S TOOLS,24,02/01/2018 12:00:00 AM
BURGLAR'S TOOLS,31,03/01/2018 12:00:00 AM
BURGLAR'S TOOLS,27,04/01/2018 12:00:00 AM
BURGLAR'S TOOLS,30,05/01/2018 12:00:00 AM
BURGLAR'S TOOLS,28,06/01/2018 12:00:00 AM
BURGLAR'S TOOLS,26,07/01/2018 12:00:00 AM
BURGLAR'S TOOLS,23,08/01/2018 12:00:00 AM
BURGLAR'S TOOLS,30,09/01/2018 12:00:00 AM
BURGLAR'S TOOLS,33,10/01/2018 12:00:00 AM
BURGLAR'S TOOLS,24,11/01/2018 12:00:00 AM
BURGLAR'S TOOLS,31,12/01/2018 12:00:00 AM
BURGLAR'S TOOLS,32,01/01/2019 12:00:00 AM
BURGLAR'S TOOLS,22,02/01/2019 12:00:00 AM
BURGLAR'S TOOLS,21,03/01/2019 12:00:00 AM
BURGLAR'S TOOLS,31,04/01/2019 12:00:00 AM
BURGLAR'S TOOLS,34,05/01/2019 12:00:00 AM
BURGLAR'S TOOLS,21,06/01/2019 12:00:00 AM
BURGLAR'S TOOLS,25,07/01/2019 12:00:00 AM
BURGLAR'S TOOLS,26,08/01/2019 12:00:00 AM
BURGLAR'S TOOLS,33,09/01/2019 12:00:00 AM
BURGLAR'S TOOLS,23,10/01/2019 12:00:00 AM
BURGLAR'S TOOLS,22,11/01/2019 12:00:00 AM
BURGLAR'S TOOLS,17,12/01/2019 12:00:00 AM
BURGLARY,968,01/01/2018 12:00:00 AM
BURGLARY,856,02/01/2018 12:00:00 AM
BURGLARY,890,03/01/2018 12:00:00 AM
BURGLARY,941,04/01/2018 12:00:00 AM
BURGLARY,927,05/01/2018 12:00:00 AM
BURGLARY,974,06/01/2018 12:00:00 AM
BURGLARY,1054,07/01/2018 12:00:00 AM
BURGLARY,1115,08/01/2018 12:00:00 AM
BURGLARY,1031,09/01/2018 12:00:00 AM
BURGLARY,1026,10/01/2018 12:00:00 AM
BURGLARY,961,11/01/2018 12:00:00 AM
BURGLARY,1159,12/01/2018 12:00:00 AM
BURGLARY,901,01/01/2019 12:00:00 AM
BURGLARY,759,02/01/2019 12:00:00 AM
BURGLARY,757,03/01/2019 12:00:00 AM
BURGLARY,803,04/01/2019 12:00:00 AM
BURGLARY,857,05/01/2019 12:00:00 AM
BURGLARY,825,06/01/2019 12:00:00 AM
BURGLARY,991,07/01/2019 12:00:00 AM
BURGLARY,1070,08/01/2019 12:00:00 AM
BURGLARY,889,09/01/2019 12:00:00 AM
BURGLARY,994,10/01/2019 12:00:00 AM
BURGLARY,900,11/01/2019 12:00:00 AM
BURGLARY,980,12/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,01/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,02/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,03/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,04/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,05/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,06/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,5,07/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,08/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,09/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,10/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,11/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,12/01/2018 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,02/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,05/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,06/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,07/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,08/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,09/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,5,10/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,2,11/01/2019 12:00:00 AM
CHILD ABANDONMENT/NON SUPPORT,1,12/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4224,01/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3548,02/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3871,03/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3984,04/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4306,05/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4252,06/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4407,07/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4186,08/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4130,09/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4035,10/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3809,11/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3980,12/01/2018 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4017,01/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3236,02/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3961,03/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3588,04/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4102,05/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3993,06/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4332,07/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4071,08/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4187,09/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,4001,10/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3880,11/01/2019 12:00:00 AM
CRIMINAL MISCHIEF & RELATED OF,3475,12/01/2019 12:00:00 AM
CRIMINAL TRESPASS,308,01/01/2018 12:00:00 AM
CRIMINAL TRESPASS,273,02/01/2018 12:00:00 AM
CRIMINAL TRESPASS,340,03/01/2018 12:00:00 AM
CRIMINAL TRESPASS,286,04/01/2018 12:00:00 AM
CRIMINAL TRESPASS,296,05/01/2018 12:00:00 AM
CRIMINAL TRESPASS,246,06/01/2018 12:00:00 AM
CRIMINAL TRESPASS,289,07/01/2018 12:00:00 AM
CRIMINAL TRESPASS,291,08/01/2018 12:00:00 AM
CRIMINAL TRESPASS,251,09/01/2018 12:00:00 AM
CRIMINAL TRESPASS,228,10/01/2018 12:00:00 AM
CRIMINAL TRESPASS,234,11/01/2018 12:00:00 AM
CRIMINAL TRESPASS,261,12/01/2018 12:00:00 AM
CRIMINAL TRESPASS,322,01/01/2019 12:00:00 AM
CRIMINAL TRESPASS,226,02/01/2019 12:00:00 AM
CRIMINAL TRESPASS,292,03/01/2019 12:00:00 AM
CRIMINAL TRESPASS,257,04/01/2019 12:00:00 AM
CRIMINAL TRESPASS,294,05/01/2019 12:00:00 AM
CRIMINAL TRESPASS,243,06/01/2019 12:00:00 AM
CRIMINAL TRESPASS,230,07/01/2019 12:00:00 AM
CRIMINAL TRESPASS,257,08/01/2019 12:00:00 AM
CRIMINAL TRESPASS,200,09/01/2019 12:00:00 AM
CRIMINAL TRESPASS,246,10/01/2019 12:00:00 AM
CRIMINAL TRESPASS,267,11/01/2019 12:00:00 AM
CRIMINAL TRESPASS,207,12/01/2019 12:00:00 AM
DANGEROUS DRUGS,1883,01/01/2018 12:00:00 AM
DANGEROUS DRUGS,1759,02/01/2018 12:00:00 AM
DANGEROUS DRUGS,1723,03/01/2018 12:00:00 AM
DANGEROUS DRUGS,1532,04/01/2018 12:00:00 AM
DANGEROUS DRUGS,1410,05/01/2018 12:00:00 AM
DANGEROUS DRUGS,1017,06/01/2018 12:00:00 AM
DANGEROUS DRUGS,1070,07/01/2018 12:00:00 AM
DANGEROUS DRUGS,1245,08/01/2018 12:00:00 AM
DANGEROUS DRUGS,929,09/01/2018 12:00:00 AM
DANGEROUS DRUGS,1044,10/01/2018 12:00:00 AM
DANGEROUS DRUGS,855,11/01/2018 12:00:00 AM
DANGEROUS DRUGS,868,12/01/2018 12:00:00 AM
DANGEROUS DRUGS,1126,01/01/2019 12:00:00 AM
DANGEROUS DRUGS,987,02/01/2019 12:00:00 AM
DANGEROUS DRUGS,1107,03/01/2019 12:00:00 AM
DANGEROUS DRUGS,1065,04/01/2019 12:00:00 AM
DANGEROUS DRUGS,1256,05/01/2019 12:00:00 AM
DANGEROUS DRUGS,1083,06/01/2019 12:00:00 AM
DANGEROUS DRUGS,1324,07/01/2019 12:00:00 AM
DANGEROUS DRUGS,1283,08/01/2019 12:00:00 AM
DANGEROUS DRUGS,1106,09/01/2019 12:00:00 AM
DANGEROUS DRUGS,1255,10/01/2019 12:00:00 AM
DANGEROUS DRUGS,1082,11/01/2019 12:00:00 AM
DANGEROUS DRUGS,801,12/01/2019 12:00:00 AM
DANGEROUS WEAPONS,773,01/01/2018 12:00:00 AM
DANGEROUS WEAPONS,623,02/01/2018 12:00:00 AM
DANGEROUS WEAPONS,688,03/01/2018 12:00:00 AM
DANGEROUS WEAPONS,703,04/01/2018 12:00:00 AM
DANGEROUS WEAPONS,697,05/01/2018 12:00:00 AM
DANGEROUS WEAPONS,627,06/01/2018 12:00:00 AM
DANGEROUS WEAPONS,691,07/01/2018 12:00:00 AM
DANGEROUS WEAPONS,743,08/01/2018 12:00:00 AM
DANGEROUS WEAPONS,608,09/01/2018 12:00:00 AM
DANGEROUS WEAPONS,625,10/01/2018 12:00:00 AM
DANGEROUS WEAPONS,576,11/01/2018 12:00:00 AM
DANGEROUS WEAPONS,573,12/01/2018 12:00:00 AM
DANGEROUS WEAPONS,707,01/01/2019 12:00:00 AM
DANGEROUS WEAPONS,636,02/01/2019 12:00:00 AM
DANGEROUS WEAPONS,632,03/01/2019 12:00:00 AM
